customer_id,customer_name,gender,age,home_address,zip_code,city,state,country
1,Nama 1,Female,30,8606 Victoria TerraceSuite 560,5464,Johnstonhaven,Northern Territory,Australia
2,Nama 2,Female,69,8327 Kirlin SummitApt. 461,8223,New Zacharyfort,South Australia,Australia
3,Nama 3,Female,59,269 Gemma SummitSuite 109,5661,Aliburgh,Australian Capital Territory,Australia
4,Nama 4,Female,67,743 Bailey GroveSuite 141,1729,South Justinhaven,Queensland,Australia
5,Nama 5,Female,30,48 Hyatt ManorSuite 375,4032,Griffithsshire,Queensland,Australia
6,Nama 6,Female,40,7118 Mccullough SquareSuite 639,9996,Blakehaven,New South Wales,Australia
7,Nama 7,Female,76,92 Hills Station StApt. 683,793,Masonfurt,Queensland,Australia
8,Nama 8,Female,75,383 Muller SummitSuite 809,7681,Samside,Northern Territory,Australia
9,Nama 9,Male,51,57 Greenfelder HillApt. 077,2,Beierport,Northern Territory,Australia
10,Nama 10,Female,70,615 Hayley KnollSuite 454,2118,Joelburgh,Western Australia,Australia
11,Nama 11,Female,39,96 Daniel PlaceSuite 898,7400,Georgeland,Northern Territory,Australia
12,Nama 12,Female,78,66 Kayla MewsSuite 951,6334,Taylorburgh,South Australia,Australia
13,Nama 13,Male,42,16 Kuhn LoopSuite 442,6170,Maddisonmouth,Queensland,Australia
14,Nama 14,Female,36,403 Doherty RunSuite 497,2050,North Benjaminville,New South Wales,Australia
15,Nama 15,Female,34,254 Ali RidgeApt. 350,491,Kiehnburgh,Western Australia,Australia
16,Nama 16,Male,75,424 Mason PlaceApt. 181,6438,New Kai,Victoria,Australia
17,Nama 17,Female,32,29 Imogen CrestSuite 275,8309,Lake Graceside,Australian Capital Territory,Australia
18,Nama 18,Male,79,13 Bailey ManorApt. 848,7171,Walterland,New South Wales,Australia
19,Nama 19,Female,41,002 Beau PlazaApt. 308,7053,West Bailey,Victoria,Australia
20,Nama 20,Female,55,2069 Phoebe MallApt. 543,6318,East Audrey,South Australia,Australia
21,Nama 21,Female,31,93 Doherty MewsSuite 649,1133,South Callum,Tasmania,Australia
22,Nama 22,Female,20,292 Casper IslandSuite 778,6624,Maxberg,Victoria,Australia
23,Nama 23,Female,32,682 Rose CircleApt. 514,1832,North Mia,Tasmania,Australia
24,Nama 24,Female,49,75 Williamson MewsSuite 864,4359,Charliebury,Northern Territory,Australia
25,Nama 25,Female,75,02 Gabriella PlazaApt. 474,9311,Olivershire,Victoria,Australia
26,Nama 26,Female,50,499 Darcy CrestApt. 192,8816,New Oliverside,New South Wales,Australia
27,Nama 27,Female,55,6578 Kayla AvenueSuite 812,3462,Lake Alanafort,Western Australia,Australia
28,Nama 28,Female,79,360 Heller DriveApt. 052,5820,West Noah,Queensland,Australia
29,Nama 29,Male,20,52 Kayla CircuitSuite 332,5308,North Matildamouth,Queensland,Australia
30,Nama 30,Female,38,612 Jessica TerraceApt. 847,7110,Jetttown,Australian Capital Territory,Australia
31,Nama 31,Female,36,471 Bahringer ManorApt. 236,756,Dickensberg,Northern Territory,Australia
32,Nama 32,Female,32,98 Becker LoopApt. 567,1822,Port Archiemouth,Queensland,Australia
33,Nama 33,Male,44,639 Farrell HillSuite 093,4116,Chaseshire,South Australia,Australia
34,Nama 34,Female,55,09 Robinson SquareApt. 647,5387,Sauerfort,Western Australia,Australia
35,Nama 35,Male,80,3168 Bartoletti CrescentSuite 878,593,Port Lucas,Queensland,Australia
36,Nama 36,Female,27,41 Durgan IslandApt. 820,5691,Hamishfurt,Queensland,Australia
37,Nama 37,Male,75,3307 Walsh JunctionSuite 233,9751,Violetville,Western Australia,Australia
38,Nama 38,Male,34,2958 Dooley Station StSuite 879,1920,Lake Lilly,Australian Capital Territory,Australia
39,Nama 39,,80,7440 Cameron Estate DrSuite 628,4622,North Victoriachester,Northern Territory,Australia
40,Nama 40,Female,59,9484 Amelia View RdApt. 760,9767,Port Claudia,New South Wales,Australia
41,Nama 41,Male,65,647 Violet Estate DrSuite 364,4320,Port Ella,New South Wales,Australia
42,Nama 42,Female,37,778 Wilkinson RidgeSuite 101,268,Gabriellatown,Victoria,Australia
43,Nama 43,Female,34,75 Keeling JunctionSuite 483,1490,South Kaiview,Queensland,Australia
44,Nama 44,Female,60,6308 Amelie MeadowSuite 634,9842,Eliburgh,Tasmania,Australia
45,Nama 45,Male,27,3101 Thomson ManorApt. 600,1796,Leofurt,Australian Capital Territory,Australia
